task_id,specification,functional_oracle,public_reference_rtl,bounded_temporal_contract,persistence_temporal_contract,progress_or_liveness_contract,protocol_or_ordering_contract,temporal_contract_explicit,native_temporal_assertion_scoring,formal_temporal_scoring,finite_trace_temporal_scoring,reference_trace_scoring,synthesis_contract_explicit,equivalence_contract_explicit,synthesis_scoring,post_synthesis_behavior_scoring,formal_equivalence_scoring,temporal_contract_without_property_or_formal,progress_contract_without_formal,equivalence_contract_without_formal_equivalence,synthesis_contract_without_synthesis,manual_review,evidence
cvdp_copilot_8x3_priority_encoder_0013,cvdp_copilot_8x3_priority_encoder_0013:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_Attenuator_0001,cvdp_copilot_Attenuator_0001:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …`ATTN_CLK` toggles high during each SHIFT cycle. - `ATTN_LE` pulses high for 1 cycle after all bits are shifted. #### **Example 2: No New Data** - **Input**: -…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_Carry_Lookahead_Adder_0001,cvdp_copilot_Carry_Lookahead_Adder_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_Carry_Lookahead_Adder_0005,cvdp_copilot_Carry_Lookahead_Adder_0005:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …provided every clock cycle), the pipeline will produce new outputs every clock cycle after the initial 4-cycle delay. --- ### **Simulation Results for Carry Lookahead A…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_FIR_0001,cvdp_copilot_FIR_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_FIR_0003,cvdp_copilot_FIR_0003:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_GFCM_0001,cvdp_copilot_GFCM_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_GFCM_0003,cvdp_copilot_GFCM_0003:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_IIR_filter_0019,cvdp_copilot_IIR_filter_0019:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_MSHR_0001,cvdp_copilot_MSHR_0001:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …e design utilizes a single-port RAM to store MSHR entry data, featuring a write latency of 1 cycle and a read latency of 1 cycle. - This design should integrate seamlessly into a…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_MSHR_0008,cvdp_copilot_MSHR_0008:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …**Single-Port RAM**: - Utilized to store MSHR entry data. - Write latency: 1 cycle. - Read operations: Combinational. ### Overview of Fill and Dequeue Operatio…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_Serial_Line_Converter_0001,cvdp_copilot_Serial_Line_Converter_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_Serial_Line_Converter_0011,cvdp_copilot_Serial_Line_Converter_0011:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_String_to_ASCII_0001,cvdp_copilot_String_to_ASCII_0001:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …out array should contain the ASCII values corresponding to all input characters within 1 clock cycle, and it should be reset to all zeros after processing is completed to ensure pr…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_Synchronous_Muller_C_Element_0001,cvdp_copilot_Synchronous_Muller_C_Element_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_adc_data_rotate_0001,cvdp_copilot_adc_data_rotate_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_aes_key_expansion_0001,cvdp_copilot_aes_key_expansion_0001:input.prompt,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,True,False,True,"('synthesis contract: …ed into **11 round keys** (each consisting of four 32-bit words). Perform an **area optimization** where both combinational and sequential logic are updated. Ensure that:…', 'equivalence contract: …equential logic are updated. Ensure that: * The optimized design retains **functional equivalence** with the original module. * The module `sbox` must not be changed. * Th…', 'synthesis scoring: …- Simulate # ---------------------------------------- def synth(): cmd = ""yosys -s /src/synth.tcl -l /code/rundir/synth.log"" return subprocess.run(cmd, she…', 'public reference RTL is present', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_ahb_clk_counter_0001,cvdp_copilot_ahb_clk_counter_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_alphablending_0003,cvdp_copilot_alphablending_0003:input.prompt,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks', 'harness contains recognizable reference/scoreboard comparison')"
cvdp_copilot_apb_dsp_op_0002,cvdp_copilot_apb_dsp_op_0002:input.prompt,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"(""bounded temporal contract: …emains low in this initial cycle. At this stage, PREADY is undefined. - In the following clock cycle, when PENABLE is asserted (1'b1), the slave must immediately assert PREADY (1'b…"", 'protocol/ordering contract: …owever, during testing, it was observed that the module fails to follow the APB handshake mechanism. Specifically, the PSLVERR should be asserted when an invalid APB add…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_apb_dsp_unit_0001,cvdp_copilot_apb_dsp_unit_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_apb_gpio_0001,cvdp_copilot_apb_gpio_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_apb_gpio_0005,cvdp_copilot_apb_gpio_0005:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_apb_history_shift_register_0001,cvdp_copilot_apb_history_shift_register_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_arithmetic_progression_generator_0003,cvdp_copilot_arithmetic_progression_generator_0003:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …equence generation begins when enable is high, and the output data is available after 1 clock cycle. If enable goes low during operation, the module should pause and resume sequen…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_arithmetic_progression_generator_0015,cvdp_copilot_arithmetic_progression_generator_0015:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_async_filo_0001,cvdp_copilot_async_filo_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_async_filo_0025,cvdp_copilot_async_filo_0025:input.prompt,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,"('synthesis contract: …w on the `async_filo` module, addressing the following issues to provide clean, synthesizable RTL code: - Multi-Driven Signal Issues Identify and resolve signals that…', 'synthesis scoring: …imulate # ---------------------------------------- def synth(): cmd = ""yosys -s /code/scripts/synth.tcl -l /code/rundir/synth.log"" return subprocess.ru…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_axi_alu_0001,cvdp_copilot_axi_alu_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_axi_register_0001,cvdp_copilot_axi_register_0001:input.prompt,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('protocol/ordering contract: …operations. --- ## Design Specification ### AXI4-Lite Protocol Features - **Handshake Mechanism** Implements the AXI handshake protocol using valid and ready sig…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_axi_stream_downscale_0001,cvdp_copilot_axi_stream_downscale_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,"('synthesis contract: …ete the following SystemVerilog template. Ensure correctness, proper syntax and synthesizability. ``` module axis_resize ( input…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_axi_stream_upscale_0001,cvdp_copilot_axi_stream_upscale_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_axi_tap_0001,cvdp_copilot_axi_tap_0001:input.prompt,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('protocol/ordering contract: …d acknowledged by the slave, and the response has been sent on the B channel. - Handshake is performed using `valid` and `ready` signals for each channel. A transaction…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_axi_tap_0009,cvdp_copilot_axi_tap_0009:input.prompt,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …un time. It can be set based on system requirements (e.g., `TIMEOUT_THRESHOLD = 1000 cycles`). module axi_tap #( parameter ADDR_WIDTH = 32, // Width of AXI4-Lite Addr…', 'persistence temporal contract: …saction timeout occurs, the `timeout_flag` will be asserted. - The flag will remain high until the system handles the timeout (such as through an error handling mechanism or…', 'protocol/ordering contract: …ero when the transaction is completed (i.e. when the response is valid, and the handshake is completed). - If the timer reaches the configured `TIMEOUT_THRESHOLD` bef…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_axil_precision_counter_0001,cvdp_copilot_axil_precision_counter_0001:input.prompt,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('protocol/ordering contract: …rations. --- ## Design Specification ### AXI4-Lite Protocol Features ### 1. Handshake Mechanism The AXI4-Lite protocol uses a valid-and-ready handshake mechanism to…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_axis_border_gen_0001,cvdp_copilot_axis_border_gen_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_axis_border_gen_0014,cvdp_copilot_axis_border_gen_0014:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_axis_joiner_0001,cvdp_copilot_axis_joiner_0001:input.prompt,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('protocol/ordering contract: …2`, `s_axis_tdata_3`). - Each input stream includes the standard **AXI Stream handshake signals**: - `tdata` (data bus) - `tvalid` (data valid indicator) -…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_axis_mux_0001,cvdp_copilot_axis_mux_0001:input.prompt,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('protocol/ordering contract: …Below are the key features and use cases of AXIS: #### **Key Features**: 1. **Handshake Mechanism**: - Uses `TVALID` and `TREADY` signals for flow control. - Dat…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_barrel_shifter_0001,cvdp_copilot_barrel_shifter_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_barrel_shifter_0037,cvdp_copilot_barrel_shifter_0037:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_barrel_shifter_0054,cvdp_copilot_barrel_shifter_0054:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_barrel_shifter_0058,cvdp_copilot_barrel_shifter_0058:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_barrel_shifter_0064,cvdp_copilot_barrel_shifter_0064:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_bcd_adder_0001,cvdp_copilot_bcd_adder_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_bcd_counter_0001,cvdp_copilot_bcd_counter_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_bcd_to_excess_3_0001,cvdp_copilot_bcd_to_excess_3_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_bcd_to_excess_3_0008,cvdp_copilot_bcd_to_excess_3_0008:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_binary_multiplier_0012,cvdp_copilot_binary_multiplier_0012:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …ol Signal Behavior**: - Both `valid_in` and `valid_out` are asserted high for one cycle. - Once `valid_out` is asserted, new inputs will be fed to the system on the…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_binary_search_tree_sorting_0001,cvdp_copilot_binary_search_tree_sorting_0001:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …when the `done` signal asserts high. Both `done` and `sorted_out` are set to 0 after 1 clock cycle. In the code below, the BST-based sorting algorithm is implemented with a Hier…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_binary_search_tree_sorting_0014,cvdp_copilot_binary_search_tree_sorting_0014:input.prompt,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks', 'harness contains recognizable reference/scoreboard comparison')"
cvdp_copilot_binary_to_BCD_0001,cvdp_copilot_binary_to_BCD_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks', 'harness contains recognizable reference/scoreboard comparison')"
cvdp_copilot_binary_to_BCD_0010,cvdp_copilot_binary_to_BCD_0010:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_binary_to_BCD_0036,cvdp_copilot_binary_to_BCD_0036:input.prompt,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,"('synthesis scoring: …imulate # ---------------------------------------- def synth(): cmd = ""yosys -s /code/scripts/synth.tcl -l /code/rundir/synth.log"" return subprocess.ru…', 'harness contains finite cycle/event-driven checks', 'harness contains recognizable reference/scoreboard comparison')"
cvdp_copilot_binary_to_gray_0001,cvdp_copilot_binary_to_gray_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_binary_to_gray_0013,cvdp_copilot_binary_to_gray_0013:input.prompt,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,"('synthesis contract: …n the `binary_to_gray` module, addressing the following issues to provide clean synthesizable RTL code. - Multi-Driven Signal Issues. Identify and resolve any signals…', 'synthesis scoring: …imulate # ---------------------------------------- def synth(): cmd = ""yosys -s /code/scripts/synth.tcl -l /code/rundir/synth.log"" return subprocess.ru…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_binary_to_one_hot_decoder_0001,cvdp_copilot_binary_to_one_hot_decoder_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_bit_synchronizer_0001,cvdp_copilot_bit_synchronizer_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_bus_arbiter_0001,cvdp_copilot_bus_arbiter_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_bus_arbiter_0004,cvdp_copilot_bus_arbiter_0004:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …t2` is asserted. - The transition to the granted request should occur on the next clock cycle. 4. **Dynamic Priority Adjustment:** If `dynamic_priority` changes while both r…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_cache_lru_0001,cvdp_copilot_cache_lru_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_cache_lru_0008,cvdp_copilot_cache_lru_0008:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …ounters greater than the previous value of the replaced way are decremented. 4. Single-Cycle Latency: - All operations (hit or miss updates) are performed within a sing…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_cache_lru_0011,cvdp_copilot_cache_lru_0011:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …r value** in the `recency` array should be selected as the `way_replace`. 5. **Single-Cycle Latency** - All operations (hit or miss updates) must be performed within a…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_cache_lru_0016,cvdp_copilot_cache_lru_0016:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …of all ways). In the event of a tie, select the way with the lower index. 5. **Single-Cycle Latency**: - Ensure all operations (hit/miss handling and replacement logic)…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_cache_lru_0019,cvdp_copilot_cache_lru_0019:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …the tree correctly identifies the most recently used way after an update. 5. **Single-Cycle Latency** - All operations (hit or miss updates, replacement logic) must be…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_cache_lru_0022,cvdp_copilot_cache_lru_0022:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_caesar_cipher_0001,cvdp_copilot_caesar_cipher_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_caesar_cipher_0024,cvdp_copilot_caesar_cipher_0024:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_caesar_cipher_0038,cvdp_copilot_caesar_cipher_0038:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,"('synthesis scoring: …- Simulate # ---------------------------------------- def synth(): cmd = ""yosys -s /code/scripts/synth.tcl -l /code/rundir/synth.log"" return subprocess.run…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_car_parking_management_0001,cvdp_copilot_car_parking_management_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_car_parking_management_0015,cvdp_copilot_car_parking_management_0015:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_car_parking_management_0018,cvdp_copilot_car_parking_management_0018:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_car_parking_management_0031,cvdp_copilot_car_parking_management_0031:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_cascaded_adder_0001,cvdp_copilot_cascaded_adder_0001:input.prompt,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …` ---- ### Latency: The module introduces a total latency of two clock cycles. One cycle is added for registering the input data, and another for registering the output…', 'harness contains finite cycle/event-driven checks', 'harness contains recognizable reference/scoreboard comparison')"
cvdp_copilot_cascaded_adder_0025,cvdp_copilot_cascaded_adder_0025:input.prompt,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,"(""bounded temporal contract: …ck cycles** (Example: when `REG = 2'b11` all stages registered. There will be a 2 cycle latency for the stages in the adder + 2 cycles for input and output latching)…"", 'harness contains finite cycle/event-driven checks', 'harness contains recognizable reference/scoreboard comparison')"
cvdp_copilot_cdc_pulse_synchronizer_0004,cvdp_copilot_cdc_pulse_synchronizer_0004:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_cdc_pulse_synchronizer_0013,cvdp_copilot_cdc_pulse_synchronizer_0013:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …nals simultaneously. The updated module must independently synchronize multiple single-cycle pulses from a source to a destination clock domain, ensuring reliable synchroni…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_cellular_automata_0001,cvdp_copilot_cellular_automata_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_cellular_automata_0017,cvdp_copilot_cellular_automata_0017:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_clock_divider_0003,cvdp_copilot_clock_divider_0003:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
cvdp_copilot_clock_jitter_detection_module_0003,cvdp_copilot_clock_jitter_detection_module_0003:input.prompt,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,"('bounded temporal contract: …remains asserted for one clock cycle when jitter is detected and resets on the next clock cycle unless additional jitter is identified. The design ensures synchronous operatio…', 'harness contains finite cycle/event-driven checks')"
cvdp_copilot_coffee_machine_0001,cvdp_copilot_coffee_machine_0001:input.prompt,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"('harness contains finite cycle/event-driven checks',)"
